publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-23T01:47:35Z,@sabrisabri-jn7ck,"Anda tidak lagi di hujat tidak lagi di remehkan dll, Anda adalah salah satu sejarah dari pada pemerintah RI yang terbaik, Terimakasih atas jazah- jazah anda pak Jokowi, selamat beristirahat di kota tercinta yaitu kota solo ❤ salam hormat",0
2024-10-23T01:41:13Z,@recehreceh6290,"Selamat dan sukses selalu pak, kami titipkan harapan kami kepada bapak. <br>Mohon lebih ditingkatkan lagi pak lapangan pekerjaan. Banyak pekerja yg di phk masal dan perusahaan/kantor banyak yang gaji nya gak sesuai standard yg ada dengan sistem kerja yg tidak sesuai jam kerja. Harapan kami hanya kepada pemerintah.(kalo usaha dan berdoa sudah pasti kami lakukan) yg utama lapangan pekerjaan dan sistem kerjanya aja pak, kita bukan generasi pemalas, tetapi terkadang suka tertindas.🙏🙏🙏",1
2024-10-23T01:15:43Z,@dewiganefi6716,Gagah ya<br>Krna presidennya eks militer..,0
2024-10-23T01:14:07Z,@mochumam7059,gilaaaa pakk anisss kren bngettttt❤❤❤,1
2024-10-23T00:47:51Z,@memsyefariz9135,bapak saya doakan bapak sehat slalu pak love u bapak❤,0
2024-10-23T00:45:54Z,@lizadewintaresti5532,Bapak rambut putih kok gak keliatan,0
2024-10-23T00:27:09Z,@susanalogobuke8152,"Jokowi kena mental.nyesal aku gak pilih Prabowo dari dulu.sebenarnya aku pilih dia yg barusan,tapi karena ada gubran aku gak jadi milih",0
2024-10-23T00:12:15Z,@jefsyah2193,sama&quot; kita saksikan cerita selanjutnya untuk Indonesia 🇲🇨,0
2024-10-22T22:37:08Z,@kholilchannels6248,"Saya pernah berdoa semoga prabowo jadi presiden,dan di antara seluruh doa rakyat indonesia akhirnya di qobulkan,selanjutnya mari kita terus berdoa agar presiden akan terus terusan berpihak kepada seluruh rakyatnya",0
2024-10-22T21:34:58Z,@rexywaery8870,mantap,0
2024-10-22T20:53:34Z,@rzkjanuar,baru kali ini saya nonton pelantikan presiden sampai habis,0
2024-10-23T11:54:19Z,@ardoo021,Respect🙏,0
2024-10-22T20:19:08Z,@KristinaFirstania,Saya Di New Zealand Nangis Pas beliau bilang &quot;seluruh rakyat Indonesia dimanapun engkau berada&quot; 🥹<br>Sehat2 selalu Pak Presidenku 🙏🏻,0
2024-10-22T19:14:16Z,@mawarndruru5729,"Salut dan Keren pak prabowo, bisa hafal semua nama2 dri kepala negara negara tetangga tanpa baca buku👍👍👍👍",2
2024-10-22T18:29:03Z,@mawarndruru5729,Sangat terharu melihat bapak jokowi😢😢,1
2024-10-22T18:17:31Z,@juhar79,PELANTIKAN KOK TIDAK DI IKN?<br>IBUKOTA NEGARA INDONESIA ITU IKN ATAU JAKARTA?,0
2024-10-22T18:05:38Z,@rzkjanuar,kenapa ada music jedag jedugnya min ?,0
