text_clean,text_preprocess
bukan keindahan hati melainkan amal kebaikan yang diantaranya kesolehan sholatdll dan  doa anak soleh sedekah atau sedaqoh entah amal berupa uang jasa  seperti relaewanadapun adab atau sopan santun seperti senyuman dan terakhir ilmu yang bermanfaat kejarlahlah ilmu sampai liang lahat  walaupun ilmu itu tidak berasal dari islam sungguh tuhan menyuruh kita dalam alqurantelah kuciptakan langit dan bumi untuk kalian manfaatkan jadi  semoga bermanfaat alquran,"['indah', 'hati', 'amal', 'baik', 'kesolehan', 'sholatdll', 'doa', 'anak', 'soleh', 'sedekah', 'sedaqoh', 'amal', 'uang', 'jasa', 'relaewanadapun', 'adab', 'sopan', 'santun', 'senyum', 'ilmu', 'manfaat', 'kejarlahlah', 'ilmu', 'liang', 'lahat', 'ilmu', 'asal', 'islam', 'sungguh', 'tuhan', 'suruh', 'alqurantelah', 'cipta', 'langit', 'bumi', 'manfaat', 'moga', 'manfaat', 'alquran']"
apa cuma saya yg terharu liat ini,"['yg', 'haru', 'liat']"
alhamdulillah saya tki di malaysia bangga dengan pelantikan bapak presiden dan wakil presiden republik  indonesia semoga indonesia selalu dalam lindungan allah swt,"['alhamdulillah', 'tki', 'malaysia', 'bangga', 'lantik', 'presiden', 'wakil', 'presiden', 'republik', 'indonesia', 'moga', 'indonesia', 'lindung', 'allah', 'swt']"
sedih mendegar masa jabatan bp joko widodo terimakasih bapa atas semua yang engkau berikan kepada rakyat kecilskali lagi mksih bapa semoggah sehat sllu kedepanyabrbrdan tak lupa presiden baru kita bpk prabowo amp wpres kita bpk gibran semongah sllu semanggat melindungi negeri tercinta indonesia ini,"['sedih', 'degar', 'jabat', 'bp', 'joko', 'widodo', 'terimakasih', 'bapa', 'engkau', 'rakyat', 'kecilskali', 'mksih', 'bapa', 'semoggah', 'sehat', 'sllu', 'kedepanyabrbrdan', 'lupa', 'presiden', 'bpk', 'prabowo', 'amp', 'wpres', 'bpk', 'gibran', 'semongah', 'sllu', 'semanggat', 'lindung', 'negeri', 'cinta', 'indonesia']"
tolong pak konsentrasi juga dengan pendidikan di negara kitaangkat semua guru guru honorer menjadi pnsperhatikan kesejahteraan para guru karna bangsa yg maju dan beradab adalah bangsa yg menghargai jasa para pahlawan tampa tanda jasa ini,"['tolong', 'konsentrasi', 'didik', 'negara', 'kitaangkat', 'guru', 'guru', 'honorer', 'pnsperhatikan', 'sejahtera', 'guru', 'karna', 'bangsa', 'yg', 'maju', 'adab', 'bangsa', 'yg', 'harga', 'jasa', 'pahlawan', 'tampa', 'tanda', 'jasa']"
keren pak prabowo bisa hapal semua tanpa teks,"['keren', 'prabowo', 'hapal', 'teks']"
skaranglah pemimpin indonesia digantikan tankmasa meta tank berjaya di semua lane,"['skaranglah', 'pimpin', 'indonesia', 'ganti', 'tankmasa', 'meta', 'tank', 'jaya', 'lane']"
siapa yang nonton sampai x dengan akun yang berbedabeda tanpa jeda iklan dan video dipercepat,"['nonton', 'x', 'akun', 'berbedabeda', 'jeda', 'iklan', 'video', 'cepat']"
sedih ngelihat bapak sby tanpa di temeni almh istri,"['sedih', 'ngelihat', 'sby', 'temeni', 'almh', 'istri']"
a href href,"['a', 'href', 'href']"
semoga indonesia semakin maju saat dipimpin oleh bpk prabowo,"['moga', 'indonesia', 'maju', 'pimpin', 'bpk', 'prabowo']"
kerenn pak prabowoo,"['kerenn', 'prabowoo']"
gak bisa ganti wakil kah,"['gak', 'ganti', 'wakil', 'kah']"
selamat mengemban amanah pak kami sayang bapak,"['selamat', 'emban', 'amanah', 'sayang']"
prabowo emot api emot api emot api,"['prabowo', 'emot', 'api', 'emot', 'api', 'emot', 'api']"
proud of you presiden ku sehat selalu pak prabowo semoga senantiasa dalam lindungan allah swt brsaya bangga sekali dengan pidato pertama nya semoga segala gagasannya bisa tercapai dan terbukti ya pak aamiin ya rabbal alamiin ,"['proud', 'of', 'you', 'presiden', 'ku', 'sehat', 'prabowo', 'moga', 'senantiasa', 'lindung', 'allah', 'swt', 'brsaya', 'bangga', 'pidato', 'nya', 'moga', 'gagas', 'capai', 'bukti', 'ya', 'aamiin', 'ya', 'rabbal', 'alamiin']"
anda tidak lagi di hujat tidak lagi di remehkan dll anda adalah salah satu sejarah dari pada pemerintah ri yang terbaik terimakasih atas jazah jazah anda pak jokowi selamat beristirahat di kota tercinta yaitu kota solo  salam hormat,"['hujat', 'remeh', 'dll', 'salah', 'sejarah', 'perintah', 'ri', 'baik', 'terimakasih', 'jazah', 'jazah', 'jokowi', 'selamat', 'istirahat', 'kota', 'cinta', 'kota', 'solo', 'salam', 'hormat']"
selamat dan sukses selalu pak kami titipkan harapan kami kepada bapak brmohon lebih ditingkatkan lagi pak lapangan pekerjaan banyak pekerja yg di phk masal dan perusahaankantor banyak yang gaji nya gak sesuai standard yg ada dengan sistem kerja yg tidak sesuai jam kerja harapan kami hanya kepada pemerintahkalo usaha dan berdoa sudah pasti kami lakukan yg utama lapangan pekerjaan dan sistem kerjanya aja pak kita bukan generasi pemalas tetapi terkadang suka tertindas,"['selamat', 'sukses', 'titip', 'harap', 'brmohon', 'tingkat', 'lapang', 'kerja', 'kerja', 'yg', 'phk', 'masal', 'perusahaankantor', 'gaji', 'nya', 'gak', 'sesuai', 'standard', 'yg', 'sistem', 'kerja', 'yg', 'sesuai', 'jam', 'kerja', 'harap', 'pemerintahkalo', 'usaha', 'doa', 'laku', 'yg', 'utama', 'lapang', 'kerja', 'sistem', 'kerja', 'aja', 'generasi', 'malas', 'terkadang', 'suka', 'tindas']"
gagah yabrkrna presidennya eks militer,"['gagah', 'yabrkrna', 'presiden', 'eks', 'militer']"
gilaa pakk anis kren bngettt,"['gilaa', 'pakk', 'anis', 'kren', 'bngettt']"
bapak saya doakan bapak sehat slalu pak love u bapak,"['doa', 'sehat', 'slalu', 'love', 'u']"
bapak rambut putih kok gak keliatan,"['rambut', 'putih', 'gak', 'liat']"
jokowi kena mentalnyesal aku gak pilih prabowo dari dulusebenarnya aku pilih dia yg barusantapi karena ada gubran aku gak jadi milih,"['jokowi', 'kena', 'mentalnyesal', 'gak', 'pilih', 'prabowo', 'dulusebenarnya', 'pilih', 'yg', 'barusantapi', 'gubran', 'gak', 'milih']"
samaquot kita saksikan cerita selanjutnya untuk indonesia ,"['samaquot', 'saksi', 'cerita', 'indonesia']"
saya pernah berdoa semoga prabowo jadi presidendan di antara seluruh doa rakyat indonesia akhirnya di qobulkanselanjutnya mari kita terus berdoa agar presiden akan terus terusan berpihak kepada seluruh rakyatnya,"['doa', 'moga', 'prabowo', 'presidendan', 'doa', 'rakyat', 'indonesia', 'qobulkanselanjutnya', 'mari', 'doa', 'presiden', 'terus', 'pihak', 'rakyat']"
mantap,['mantap']
baru kali ini saya nonton pelantikan presiden sampai habis,"['kali', 'nonton', 'lantik', 'presiden', 'habis']"
respect,['respect']
saya di new zealand nangis pas beliau bilang quotseluruh rakyat indonesia dimanapun engkau beradaquot brsehat selalu pak presidenku ,"['new', 'zealand', 'nang', 'pas', 'beliau', 'bilang', 'quotseluruh', 'rakyat', 'indonesia', 'mana', 'engkau', 'beradaquot', 'brsehat', 'presiden']"
salut dan keren pak prabowo bisa hafal semua nama dri kepala negara negara tetangga tanpa baca buku,"['salut', 'keren', 'prabowo', 'hafal', 'nama', 'dri', 'kepala', 'negara', 'negara', 'tetangga', 'baca', 'buku']"
sangat terharu melihat bapak jokowi,"['haru', 'jokowi']"
pelantikan kok tidak di iknbribukota negara indonesia itu ikn atau jakarta,"['lantik', 'iknbribukota', 'negara', 'indonesia', 'ikn', 'jakarta']"
kenapa ada music jedag jedugnya min ,"['music', 'jedag', 'jedugnya', 'min']"
p,['p']
